Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1958,28,su Soviet Union,1. World Cup,QF,5.0,5.0,450.0,5.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1962,32,su Soviet Union,1. World Cup,QF,4.0,4.0,360.0,4.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1966,36,su Soviet Union,1. World Cup,4th,4.0,4.0,360.0,4.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1970,40,su Soviet Union,1. World Cup,QF,0.0,0.0,,,,,,,,,,,,,,,,Matches
4 Seasons,4 Seasons,1 Club,1 League,,13.0,13.0,1170.0,13.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,
