Starts,Min,90s,MP
8,648,7.2,12
37,3262,36.2,45
3,274,3.0,5
6,626,7.0,17
2,97,1.1,2
15,1232,13.7,16
17,1377,15.3,24
3,519,5.8,14
14,1317,14.6,21
10,895,9.9,14
12,971,10.8,15
6,553,6.1,11
44,3782,42.0,44
25,2389,26.5,40
42,3587,39.9,42
24,2063,22.9,29
12,1045,11.6,13
19,1642,18.2,25
2,362,4.0,7
2,213,2.4,3
303,26854,298.4,399
87,7654,85.0,103
60,5229,58.1,75
35,3128,34.8,54
69,6171,68.6,84
24,2212,24.6,35
8,723,8.0,19
12,971,10.8,15
6,553,6.1,11
2,213,2.4,3
201,17952,199.5,271
92,7966,88.5,106
8,723,8.0,19
2,213,2.4,3
