Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1995-1996,28,Milan,it ITA,1. Serie A,1st,26,26,2340,26.0,11,,,11,0,,0,0,0.42,,,0.42,,Matches
1996-1997,29,Milan,it ITA,1. Serie A,11th,28,25,2269,25.2,13,,,13,0,,2,0,0.52,,,0.52,,Matches
1997-1998,30,Milan,it ITA,1. Serie A,10th,24,23,2038,22.6,10,,,10,0,,0,0,0.44,,,0.44,,Matches
1998-1999,31,Milan,it ITA,1. Serie A,1st,26,26,2282,25.4,8,5,13,8,0,0,6,1,0.32,0.20,0.51,0.32,0.51,Matches
1999-2000,32,Milan,it ITA,1. Serie A,3rd,10,8,797,8.9,4,3,7,4,0,0,0,0,0.45,0.34,0.79,0.45,0.79,Matches
1999-2000,32,Chelsea,eng ENG,1. Premier League,5th,11,9,876,9.7,3,3,6,3,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches
2000-2001,33,Marseille,fr FRA,1. Division 1,15th,19,17,1550,17.2,5,4,9,5,0,1,1,0,0.29,0.23,0.52,0.29,0.52,Matches
2000-2001,33,Manchester City,eng ENG,1. Premier League,18th,7,5,475,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
6 Seasons,6 Seasons,4 Clubs,,3 Leagues,,151,139,12627,140.3,55,16,37,55,0,1,9,1,0.39,0.24,0.56,0.39,0.56,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Milan (5 Seasons),Milan (5 Seasons),Milan (5 Seasons),,1 League,,114,108,9726,108.1,46,8,20,46,0,0,8,1,0.43,0.23,0.58,0.43,0.58,
Marseille (1 Season),Marseille (1 Season),Marseille (1 Season),,1 League,,19,17,1550,17.2,5,4,9,5,0,1,1,0,0.29,0.23,0.52,0.29,0.52,
Chelsea (1 Season),Chelsea (1 Season),Chelsea (1 Season),,1 League,,11,9,876,9.7,3,3,6,3,0,0,0,0,0.31,0.31,0.62,0.31,0.62,
Manchester City (1 Season),Manchester City (1 Season),Manchester City (1 Season),,1 League,,7,5,475,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,114,108,9726,108.1,46,8,20,46,0,0,8,1,0.43,0.23,0.58,0.43,0.58,
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,18,14,1351,15.0,4,4,8,4,0,0,0,0,0.27,0.27,0.53,0.27,0.53,
Division 1 (1 Season),Division 1 (1 Season),Division 1 (1 Season),,,,19,17,1550,17.2,5,4,9,5,0,1,1,0,0.29,0.23,0.52,0.29,0.52,
